algorithm,rho,seed,total_reward,regret,competitive_ratio,acceptance_rate,total_accepts,V_mix,T_V_mix,K,d,T,elapsed_time,budget_utilization,N_theta
SP-UCB-OLP,0.7,42,2492.4955934047434,3770.2855418722115,0.3979854220619382,0.125,125,6.262781135276955,6262.781135276955,3,2,1000,1.2465379238128662,"[np.float64(0.4008509787164404), np.float64(0.3560847492913547)]","[174, 317, 509]"
Greedy,0.7,42,3069.1620045347163,3193.6191307422387,0.49006374935358343,0.161,161,6.262781135276955,6262.781135276955,3,2,1000,0.6205461025238037,"[np.float64(0.5084052331554403), np.float64(0.4503078235922606)]","[1, 344, 655]"
Random,0.7,42,5186.33887231813,1076.4422629588253,0.8281207278831049,0.253,253,6.262781135276955,6262.781135276955,3,2,1000,0.0044023990631103516,"[np.float64(0.835704739478684), np.float64(0.999866163655541)]","[355, 326, 319]"
Oracle,0.7,42,5964.470118736781,298.311016540174,0.9523676446459466,0.243,243,6.262781135276955,6262.781135276955,3,2,1000,0.007191181182861328,"[np.float64(0.7418788809993522), np.float64(0.9998604441536431)]","[0, 0, 1000]"
SP-UCB-OLP,1.0,42,3332.0293313708435,5116.525909516377,0.394390429649476,0.174,174,8.44855524088722,8448.55524088722,3,2,1000,1.0423400402069092,"[np.float64(0.40196016037676163), np.float64(0.33985795045081213)]","[150, 352, 498]"
Greedy,1.0,42,4086.7569743073486,4361.798266579872,0.48372258425076947,0.218,218,8.44855524088722,8448.55524088722,3,2,1000,0.581291913986206,"[np.float64(0.5027047667536473), np.float64(0.42395464663773474)]","[1, 471, 528]"
Random,1.0,42,7130.947744537905,1317.6074963493156,0.8440434537289067,0.383,383,8.44855524088722,8448.55524088722,3,2,1000,0.004293918609619141,"[np.float64(0.9002736587539005), np.float64(0.9999799817433512)]","[355, 326, 319]"
Oracle,1.0,42,8013.58045936386,434.97478152336043,0.9485148917038173,0.33,330,8.44855524088722,8448.55524088722,3,2,1000,0.008247137069702148,"[np.float64(0.7054031693502267), np.float64(0.9997677882228635)]","[0, 0, 1000]"
