algorithm,alpha,rho,seed,total_reward,regret,competitive_ratio,acceptance_rate,total_accepts,V_mix,T,K,d,elapsed_time
SP-UCB-OLP,0.0,0.7,42,486819.5058411104,20302.40580779314,0.9599654336729802,0.3342,1671,101.42438232978071,5000,3,2,4.099548816680908
SP-UCB-OLP,0.0001,0.7,42,409972.29038155783,97149.62126734573,0.8084294544649739,0.29,1450,101.42438232978071,5000,3,2,3.0750439167022705
SP-UCB-OLP,0.001,0.7,42,487083.162787278,20038.748861625558,0.9604853420818089,0.334,1670,101.42438232978071,5000,3,2,2.181727886199951
SP-UCB-OLP,0.01,0.7,42,482106.7705488483,25015.141100055247,0.9506723323811455,0.337,1685,101.42438232978071,5000,3,2,3.98569393157959
SP-UCB-OLP,0.1,0.7,42,459199.1207817558,47922.79086714779,0.9055004531132816,0.3452,1726,101.42438232978071,5000,3,2,5.6569740772247314
Random,,0.7,42,228948.928883603,278172.98276530055,0.4514672382015146,0.3464,1732,101.42438232978071,5000,3,2,0.020127058029174805
Oracle,,0.7,42,506772.44748897635,349.4641599272145,0.9993108872799621,0.3588,1794,101.42438232978071,5000,3,2,0.03597402572631836
SP-UCB-OLP,0.0,0.7,43,494722.7925631656,16914.169274064596,0.9669410724093745,0.3352,1676,102.32739236744604,5000,3,2,2.2831809520721436
SP-UCB-OLP,0.0001,0.7,43,495262.25676746987,16374.705069760326,0.9679954610570733,0.3356,1678,102.32739236744604,5000,3,2,2.283616065979004
SP-UCB-OLP,0.001,0.7,43,492434.0186690227,19202.94316820748,0.9624676389695305,0.3348,1674,102.32739236744604,5000,3,2,3.1433379650115967
SP-UCB-OLP,0.01,0.7,43,491784.81131255446,19852.15052467573,0.9611987561387494,0.3338,1669,102.32739236744604,5000,3,2,3.5565407276153564
SP-UCB-OLP,0.1,0.7,43,463996.6177385601,47640.34409867012,0.9068864299256273,0.3418,1709,102.32739236744604,5000,3,2,5.66938591003418
Random,,0.7,43,227495.1119595449,284141.8498776853,0.44464166768295205,0.3454,1727,102.32739236744604,5000,3,2,0.01990985870361328
Oracle,,0.7,43,511571.21795534913,65.7438818810624,0.999871502868665,0.3586,1793,102.32739236744604,5000,3,2,0.03605198860168457
SP-UCB-OLP,0.0,0.7,44,485259.8939654387,23375.341553701845,0.954043015659653,0.33,1650,101.72704710382811,5000,3,2,3.728487968444824
SP-UCB-OLP,0.0001,0.7,44,474248.3636671396,34386.87185200094,0.932393846413523,0.3168,1584,101.72704710382811,5000,3,2,4.022945880889893
SP-UCB-OLP,0.001,0.7,44,369104.7047204816,139530.53079865896,0.7256766321817115,0.4324,2162,101.72704710382811,5000,3,2,2.0569961071014404
SP-UCB-OLP,0.01,0.7,44,482182.71334065887,26452.522178481682,0.9479931386360152,0.3386,1693,101.72704710382811,5000,3,2,3.1362829208374023
SP-UCB-OLP,0.1,0.7,44,447176.1866677433,61459.04885139724,0.8791687154967375,0.333,1665,101.72704710382811,5000,3,2,5.480331659317017
Random,,0.7,44,226694.8291791707,281940.40633996984,0.4456923416793839,0.3464,1732,101.72704710382811,5000,3,2,0.020134925842285156
Oracle,,0.7,44,508167.6107853849,467.62473375565605,0.9990806285111601,0.36,1800,101.72704710382811,5000,3,2,0.036340951919555664
SP-UCB-OLP,0.0,0.7,45,486422.10489285353,22477.48296087078,0.9558312022698442,0.3326,1663,101.77991757074486,5000,3,2,2.361509084701538
SP-UCB-OLP,0.0001,0.7,45,485507.3698875274,23392.217966196884,0.9540337258576821,0.3302,1651,101.77991757074486,5000,3,2,2.8254380226135254
SP-UCB-OLP,0.001,0.7,45,481022.1117543663,27877.476099358,0.9452200851312715,0.324,1620,101.77991757074486,5000,3,2,3.8787598609924316
SP-UCB-OLP,0.01,0.7,45,483376.46496794885,25523.12288577546,0.949846446145852,0.3314,1657,101.77991757074486,5000,3,2,2.9829108715057373
SP-UCB-OLP,0.1,0.7,45,453512.0757647261,55387.51208899822,0.8911621989662162,0.3438,1719,101.77991757074486,5000,3,2,5.517550945281982
Random,,0.7,45,225463.26885581115,283436.31899791316,0.4430407770749016,0.3454,1727,101.77991757074486,5000,3,2,0.023017168045043945
Oracle,,0.7,45,508394.8245107716,504.763342952705,0.9990081278212829,0.3594,1797,101.77991757074486,5000,3,2,0.04087400436401367
SP-UCB-OLP,0.0,0.7,46,485865.60199563403,21463.078940799867,0.9576939373875275,0.328,1640,101.46573618728678,5000,3,2,2.70556902885437
SP-UCB-OLP,0.0001,0.7,46,485267.07965250075,22061.601283933152,0.9565141847624078,0.331,1655,101.46573618728678,5000,3,2,3.338841676712036
SP-UCB-OLP,0.001,0.7,46,486153.1299747993,21175.55096163461,0.9582606863019285,0.3288,1644,101.46573618728678,5000,3,2,2.4329419136047363
SP-UCB-OLP,0.01,0.7,46,482169.56573208974,25159.115204344154,0.9504086479835812,0.3392,1696,101.46573618728678,5000,3,2,3.361597776412964
SP-UCB-OLP,0.1,0.7,46,452180.4728746786,55148.208061755286,0.8912968847730784,0.3426,1713,101.46573618728678,5000,3,2,5.133366107940674
Random,,0.7,46,226083.7312334317,281244.94970300223,0.4456356199222236,0.3448,1724,101.46573618728678,5000,3,2,0.02110600471496582
Oracle,,0.7,46,507222.40941894444,106.27151748945471,0.9997905272824448,0.3588,1794,101.46573618728678,5000,3,2,0.038123130798339844
