algorithm,rho,seed,total_reward,regret,competitive_ratio,acceptance_rate,total_accepts,V_mix,T_V_mix,K,d,T,elapsed_time,budget_utilization,N_theta
SP-UCB-OLP,0.7,42,646.2143821007002,79.00888278037246,0.8910557801902165,0.326,326,0.7252232648810726,725.2232648810726,3,2,1000,0.9272940158843994,"[np.float64(0.9189842805320436), np.float64(0.850284030464356)]","[508, 276, 216]"
Greedy,0.7,42,692.2072115542971,33.01605332677548,0.9544746357079572,0.337,337,0.7252232648810726,725.2232648810726,3,2,1000,0.38606905937194824,"[np.float64(0.9984453273449646), np.float64(0.9676024534375345)]","[834, 1, 165]"
Random,0.7,42,576.2764533552162,148.94681152585645,0.7946193693189341,0.258,258,0.7252232648810726,725.2232648810726,3,2,1000,0.0039958953857421875,"[np.float64(0.8567973743306271), np.float64(0.9997231761080392)]","[355, 326, 319]"
Oracle,0.7,42,723.1969375819583,2.026327299114314,0.9972059262337004,0.361,361,0.7252232648810726,725.2232648810726,3,2,1000,0.007133960723876953,"[np.float64(0.9967179132838142), np.float64(0.9994943960320386)]","[1000, 0, 0]"
SP-UCB-OLP,1.0,42,851.686198743655,171.33675751615795,0.8325191468404897,0.444,444,1.023022956259813,1023.022956259813,3,2,1000,0.9060108661651611,"[np.float64(0.8766626360338573), np.float64(0.7991608346812298)]","[544, 261, 195]"
Greedy,1.0,42,950.9211449706612,72.10181128915178,0.9295208276139207,0.475,475,1.023022956259813,1023.022956259813,3,2,1000,0.36779117584228516,"[np.float64(0.9407496977025394), np.float64(0.9306727735694955)]","[897, 1, 102]"
Random,1.0,42,852.7786047984994,170.2443514613136,0.8335869684843344,0.387,387,1.023022956259813,1023.022956259813,3,2,1000,0.0040891170501708984,"[np.float64(0.9117291414752116), np.float64(0.9999839853946796)]","[355, 326, 319]"
Oracle,1.0,42,1019.7939713838822,3.2289848759307915,0.9968436828751761,0.501,501,1.023022956259813,1023.022956259813,3,2,1000,0.007308006286621094,"[np.float64(0.9963724304715841), np.float64(0.9993113719712381)]","[1000, 0, 0]"
