algorithm,alpha,rho,seed,total_reward,regret,competitive_ratio,acceptance_rate,total_accepts,V_mix,T,K,d,elapsed_time
SP-UCB-OLP,0.0,0.7,42,486819.5058411104,20302.40562968672,0.9599654340101298,0.3342,1671,101.42438229415943,5000,3,2,4.033585071563721
SP-UCB-OLP,0.01,0.7,42,482106.7705488483,25015.140921948827,0.9506723327150313,0.337,1685,101.42438229415943,5000,3,2,3.8746843338012695
SP-UCB-OLP,0.05,0.7,42,459127.7972436024,47994.11422719475,0.9053598096599726,0.347,1735,101.42438229415943,5000,3,2,5.692227125167847
SP-UCB-OLP,0.1,0.7,42,459199.1207817558,47922.79068904137,0.9055004534313027,0.3452,1726,101.42438229415943,5000,3,2,5.545842885971069
SP-UCB-OLP,0.5,0.7,42,432535.0942825813,74586.81718821585,0.8529213281834087,0.3418,1709,101.42438229415943,5000,3,2,4.279855728149414
SP-UCB-OLP,1.0,0.7,42,433722.80930677796,73399.10216401919,0.8552633982011525,0.3492,1746,101.42438229415943,5000,3,2,3.9652647972106934
Random,,0.7,42,228948.928883603,278172.9825871942,0.4514672383600745,0.3464,1732,101.42438229415943,5000,3,2,0.020025968551635742
Oracle,,0.7,42,506787.0012012074,334.91026958974544,0.9993395862769597,0.3586,1793,101.42438229415943,5000,3,2,0.0445706844329834
SP-UCB-OLP,0.0,0.7,43,494722.7925631656,16914.169274064596,0.9669410724093745,0.3352,1676,102.32739236744604,5000,3,2,2.224241018295288
SP-UCB-OLP,0.01,0.7,43,491784.81131255446,19852.15052467573,0.9611987561387494,0.3338,1669,102.32739236744604,5000,3,2,3.5271549224853516
SP-UCB-OLP,0.05,0.7,43,474212.4838257459,37424.478011484316,0.9268534511715157,0.3414,1707,102.32739236744604,5000,3,2,5.563234090805054
SP-UCB-OLP,0.1,0.7,43,463996.6177385601,47640.34409867012,0.9068864299256273,0.3418,1709,102.32739236744604,5000,3,2,5.605571031570435
SP-UCB-OLP,0.5,0.7,43,440627.3848988645,71009.5769383657,0.8612110104723897,0.3446,1723,102.32739236744604,5000,3,2,5.01805305480957
SP-UCB-OLP,1.0,0.7,43,440996.4760908162,70640.485746414,0.8619324032166245,0.3518,1759,102.32739236744604,5000,3,2,3.491597890853882
Random,,0.7,43,227495.1119595449,284141.8498776853,0.44464166768295205,0.3454,1727,102.32739236744604,5000,3,2,0.020267963409423828
Oracle,,0.7,43,511571.21795534913,65.7438818810624,0.999871502868665,0.3586,1793,102.32739236744604,5000,3,2,0.036399126052856445
SP-UCB-OLP,0.0,0.7,44,485259.8939654387,23375.341553701845,0.954043015659653,0.33,1650,101.72704710382811,5000,3,2,3.6805830001831055
SP-UCB-OLP,0.01,0.7,44,482182.71334065887,26452.522178481682,0.9479931386360152,0.3386,1693,101.72704710382811,5000,3,2,3.0427818298339844
SP-UCB-OLP,0.05,0.7,44,463684.7201329485,44950.51538619207,0.9116252429104461,0.3358,1679,101.72704710382811,5000,3,2,5.304271697998047
SP-UCB-OLP,0.1,0.7,44,447176.1866677433,61459.04885139724,0.8791687154967375,0.333,1665,101.72704710382811,5000,3,2,5.394978046417236
SP-UCB-OLP,0.5,0.7,44,437939.2683866891,70695.96713245148,0.8610085141657648,0.3388,1694,101.72704710382811,5000,3,2,5.065378665924072
SP-UCB-OLP,1.0,0.7,44,427874.3847028361,80760.85081630445,0.8412204952064015,0.3392,1696,101.72704710382811,5000,3,2,3.30143404006958
Random,,0.7,44,226694.8291791707,281940.40633996984,0.4456923416793839,0.3464,1732,101.72704710382811,5000,3,2,0.020772695541381836
Oracle,,0.7,44,508167.6107853849,467.62473375565605,0.9990806285111601,0.36,1800,101.72704710382811,5000,3,2,0.036630868911743164
SP-UCB-OLP,0.0,0.7,45,486422.10489285353,22477.48296087078,0.9558312022698442,0.3326,1663,101.77991757074486,5000,3,2,2.333695888519287
SP-UCB-OLP,0.01,0.7,45,483376.46496794885,25523.12288577546,0.949846446145852,0.3314,1657,101.77991757074486,5000,3,2,2.861722946166992
SP-UCB-OLP,0.05,0.7,45,468456.0999822201,40443.487871504214,0.9205275680373923,0.34,1700,101.77991757074486,5000,3,2,5.826770305633545
SP-UCB-OLP,0.1,0.7,45,453512.0757647261,55387.51208899822,0.8911621989662162,0.3438,1719,101.77991757074486,5000,3,2,5.405848741531372
SP-UCB-OLP,0.5,0.7,45,443124.9902696091,65774.59758411522,0.8707513247131551,0.3462,1731,101.77991757074486,5000,3,2,4.424320936203003
SP-UCB-OLP,1.0,0.7,45,435536.7271263807,73362.86072734359,0.8558402040827932,0.3432,1716,101.77991757074486,5000,3,2,3.664134979248047
Random,,0.7,45,225463.26885581115,283436.31899791316,0.4430407770749016,0.3454,1727,101.77991757074486,5000,3,2,0.020971059799194336
Oracle,,0.7,45,508394.8245107716,504.763342952705,0.9990081278212829,0.3594,1797,101.77991757074486,5000,3,2,0.037641048431396484
SP-UCB-OLP,0.0,0.7,46,485865.60199563403,21463.078940799867,0.9576939373875275,0.328,1640,101.46573618728678,5000,3,2,2.655618667602539
SP-UCB-OLP,0.01,0.7,46,482169.56573208974,25159.115204344154,0.9504086479835812,0.3392,1696,101.46573618728678,5000,3,2,3.346660852432251
SP-UCB-OLP,0.05,0.7,46,468961.9353461042,38366.745590329694,0.9243749722181843,0.3464,1732,101.46573618728678,5000,3,2,5.858083009719849
SP-UCB-OLP,0.1,0.7,46,452180.4728746786,55148.208061755286,0.8912968847730784,0.3426,1713,101.46573618728678,5000,3,2,5.139317989349365
SP-UCB-OLP,0.5,0.7,46,436711.2063056582,70617.47463077569,0.8608052781474349,0.3434,1717,101.46573618728678,5000,3,2,5.018259763717651
SP-UCB-OLP,1.0,0.7,46,441581.83537076635,65746.84556566755,0.870405817695323,0.346,1730,101.46573618728678,5000,3,2,3.9117507934570312
Random,,0.7,46,226083.7312334317,281244.94970300223,0.4456356199222236,0.3448,1724,101.46573618728678,5000,3,2,0.021188974380493164
Oracle,,0.7,46,507222.40941894444,106.27151748945471,0.9997905272824448,0.3588,1794,101.46573618728678,5000,3,2,0.03829383850097656
