algorithm,rho,seed,total_reward,regret,competitive_ratio,acceptance_rate,total_accepts,V_mix,T_V_mix,K,d,T,elapsed_time,budget_utilization,N_theta
SP-UCB-OLP,0.7,42,25149821.22275858,110450645.40409024,0.18547001974533714,0.041,41,135600.46662684882,135600466.62684882,3,2,1000,0.650515079498291,"[np.float64(0.14037512160085885), np.float64(0.14274732842066296)]","[194, 359, 447]"
Greedy,0.7,42,54831477.89231545,80768988.73453337,0.4043605398733845,0.093,93,135600.46662684882,135600466.62684882,3,2,1000,0.5706841945648193,"[np.float64(0.31093453100708335), np.float64(0.3572400886751589)]","[1, 525, 474]"
Random,0.7,42,119731868.47250566,15868598.154343158,0.8829753425700883,0.253,253,135600.46662684882,135600466.62684882,3,2,1000,0.005587100982666016,"[np.float64(0.835704739478684), np.float64(0.999866163655541)]","[355, 326, 319]"
Oracle,0.7,42,134148386.81308426,1452079.8137645572,0.9892914836513029,0.199,199,135600.46662684882,135600466.62684882,3,2,1000,0.007181882858276367,"[np.float64(0.6151412388286297), np.float64(0.9997060176023425)]","[0, 0, 1000]"
SP-UCB-OLP,1.0,42,2789361.98880351,146717812.73555526,0.018657044345504897,0.014,14,149507.17472435877,149507174.72435877,3,2,1000,0.4306049346923828,"[np.float64(0.03105708648889527), np.float64(0.04272296334256864)]","[304, 329, 367]"
Greedy,1.0,42,53336815.343046546,96170359.38131222,0.3567508746077357,0.083,83,149507.17472435877,149507174.72435877,3,2,1000,0.6124370098114014,"[np.float64(0.1857061032266315), np.float64(0.248342488349376)]","[1, 134, 865]"
Random,1.0,42,126252207.39818569,23254967.326173082,0.8444558438814227,0.383,383,149507.17472435877,149507174.72435877,3,2,1000,0.004120826721191406,"[np.float64(0.9002736587539005), np.float64(0.9999799817433512)]","[355, 326, 319]"
Oracle,1.0,42,149474782.32328415,32392.4010746181,0.9997833388187936,0.313,313,149507.17472435877,149507174.72435877,3,2,1000,0.0072209835052490234,"[np.float64(0.6718640616050477), np.float64(0.9988669666736107)]","[0, 0, 1000]"
