algorithm,rho,seed,total_reward,regret,competitive_ratio,acceptance_rate,total_accepts,V_mix,T_V_mix,K,d,T,elapsed_time,budget_utilization,N_theta
SP-UCB-OLP,0.7,42,88380.32680694375,17149.740802576256,0.8374895307938839,0.309,309,105.53006760952,105530.06760952,3,2,1000,0.950592041015625,"[np.float64(0.9425182122524216), np.float64(0.8266015380375618)]","[266, 263, 471]"
Greedy,0.7,42,98591.96642737485,6938.101182145154,0.934254745218042,0.323,323,105.53006760952,105530.06760952,3,2,1000,0.5239250659942627,"[np.float64(0.9511760740589494), np.float64(0.9076545508624729)]","[1, 1, 998]"
Random,0.7,42,44728.31268371802,60801.754925801986,0.42384425308264484,0.326,326,105.53006760952,105530.06760952,3,2,1000,0.004635810852050781,"[np.float64(0.9050884464549409), np.float64(0.9999871816074982)]","[355, 326, 319]"
Oracle,0.7,42,105268.42007573415,261.6475337858574,0.9975206352112461,0.351,351,105.53006760952,105530.06760952,3,2,1000,0.007845163345336914,"[np.float64(0.9953691100682099), np.float64(0.9988898504121333)]","[0, 0, 1000]"
SP-UCB-OLP,1.0,42,106159.28209485742,17516.795311946655,0.8583655329370677,0.449,449,123.67607740680408,123676.07740680408,3,2,1000,0.8819141387939453,"[np.float64(0.8999253879903978), np.float64(0.8820524598020404)]","[294, 233, 473]"
Greedy,1.0,42,119011.41573655218,4664.661670251895,0.9622832340088814,0.478,478,123.67607740680408,123676.07740680408,3,2,1000,0.38413000106811523,"[np.float64(0.9684421682512925), np.float64(0.9371778726149964)]","[1, 17, 982]"
Random,1.0,42,61555.21648075144,62120.860926052635,0.4977132018691026,0.464,464,123.67607740680408,123676.07740680408,3,2,1000,0.004079103469848633,"[np.float64(0.9076021953521607), np.float64(0.999975904085699)]","[355, 326, 319]"
Oracle,1.0,42,123640.80185163984,35.27555516423308,0.9997147746281748,0.499,499,123.67607740680408,123676.07740680408,3,2,1000,0.0073168277740478516,"[np.float64(0.9986012076977268), np.float64(0.9995357828135213)]","[0, 0, 1000]"
