algorithm,alpha,mean_cr,std_cr,min_cr,max_cr
Oracle,,0.9995168420568773,0.00024899259459746145,0.9987814763347588,0.9999651811960384
SP-UCB-OLP,0.0,0.8481259110014941,0.14242140146808294,0.6088383386055186,0.980316835465426
SP-UCB-OLP,0.01,0.9737884609908636,0.0059248968421017414,0.947223095567651,0.9817172699516344
SP-UCB-OLP,0.1,0.9520500436804663,0.0052100646238767345,0.939637986953971,0.960327266415648
SP-UCB-OLP,1.0,0.9198077174230498,0.005722676104726827,0.9052497503442708,0.9299184420556836
Random,,0.610459326804193,0.0024778380119243747,0.6032732586574403,0.6155092759049844
